level,module,eclass,abstract,current_container,proposed_container,feature,feature_kind,feature_type,opposite,verdict,rationale,flags
psm,awspsm-compute.emf,LambdaAlias,False,AwsLambdaFunction.aliases,AwsLambdaFunction.aliases,provisionedConcurrencyConfig,val,LambdaProvisionedConcurrencyConfig,,val,containment owner,
psm,awspsm-compute.emf,LambdaAlias,False,AwsLambdaFunction.aliases,AwsLambdaFunction.aliases,version,ref,LambdaVersion,,ref,cross-link,
psm,awspsm-api.emf,LambdaAuthorizer,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-compute.emf,LambdaCodeConfig,True,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-compute.emf,LambdaDeadLetterConfig,False,AwsLambdaFunction.deadLetterConfig,AwsLambdaFunction.deadLetterConfig,targetQueue,ref,SqsQueue,,ref,cross-link,
psm,awspsm-compute.emf,LambdaDeadLetterConfig,False,AwsLambdaFunction.deadLetterConfig,AwsLambdaFunction.deadLetterConfig,targetTopic,ref,SnsTopic,,ref,cross-link,
psm,awspsm-compute.emf,LambdaDestinationConfig,False,LambdaEventSourceMapping.destinationConfig; LambdaEventInvokeConfig.destinationConfig,LambdaEventSourceMapping.destinationConfig; LambdaEventInvokeConfig.destinationConfig,onSuccess,ref,AwsResource,,flag: multiple-containment,cross-link,multiple-containment
psm,awspsm-compute.emf,LambdaDestinationConfig,False,LambdaEventSourceMapping.destinationConfig; LambdaEventInvokeConfig.destinationConfig,LambdaEventSourceMapping.destinationConfig; LambdaEventInvokeConfig.destinationConfig,onFailure,ref,AwsResource,,ref,cross-link,multiple-containment
psm,awspsm-compute.emf,LambdaEnvironmentVariable,False,AwsLambdaFunction.environment,AwsLambdaFunction.environment,,,,,ok,leaf classifier,
psm,awspsm-compute.emf,LambdaEventInvokeConfig,False,AwsLambdaFunction.eventInvokeConfigs,AwsLambdaFunction.eventInvokeConfigs,destinationConfig,val,LambdaDestinationConfig,,val,containment owner,
psm,awspsm-compute.emf,LambdaEventInvokeConfig,False,AwsLambdaFunction.eventInvokeConfigs,AwsLambdaFunction.eventInvokeConfigs,qualifierAlias,ref,LambdaAlias,,ref,cross-link,
psm,awspsm-compute.emf,LambdaEventSourceMapping,True,AwsLambdaFunction.eventSourceMappings,AwsLambdaFunction.eventSourceMappings,destinationConfig,val,LambdaDestinationConfig,,val,containment owner,
psm,awspsm-compute.emf,LambdaFileSystemConfig,False,AwsLambdaFunction.fileSystemConfigs,AwsLambdaFunction.fileSystemConfigs,,,,,ok,leaf classifier,
psm,awspsm-compute.emf,LambdaFunctionUrl,False,AwsLambdaFunction.functionUrl,AwsLambdaFunction.functionUrl,cors,val,LambdaUrlCorsConfiguration,,val,containment owner,
psm,awspsm-compute.emf,LambdaImageCodeConfig,False,(none),(none),imageConfig,val,LambdaImageConfig,,flag: unreachable,containment owner,unreachable
psm,awspsm-compute.emf,LambdaImageConfig,False,LambdaImageCodeConfig.imageConfig,LambdaImageCodeConfig.imageConfig,,,,,ok,leaf classifier,
psm,awspsm-compute.emf,LambdaInvocationBinding,True,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-compute.emf,LambdaLayerPermission,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-compute.emf,LambdaLayerVersion,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-compute.emf,LambdaLoggingConfig,False,AwsLambdaFunction.logging,AwsLambdaFunction.logging,,,,,ok,leaf classifier,
psm,awspsm-compute.emf,LambdaPermission,False,AwsLambdaFunction.permissions,AwsLambdaFunction.permissions,,,,,ok,leaf classifier,
psm,awspsm-compute.emf,LambdaProvisionedConcurrencyConfig,False,LambdaVersion.provisionedConcurrencyConfig; LambdaAlias.provisionedConcurrencyConfig,LambdaVersion.provisionedConcurrencyConfig; LambdaAlias.provisionedConcurrencyConfig,,,,,flag: multiple-containment,leaf classifier,multiple-containment
psm,awspsm-compute.emf,LambdaTracingConfig,False,AwsLambdaFunction.tracing,AwsLambdaFunction.tracing,,,,,ok,leaf classifier,
psm,awspsm-compute.emf,LambdaUrlCorsConfiguration,False,LambdaFunctionUrl.cors,LambdaFunctionUrl.cors,,,,,ok,leaf classifier,
psm,awspsm-compute.emf,LambdaVersion,False,AwsLambdaFunction.versions,AwsLambdaFunction.versions,provisionedConcurrencyConfig,val,LambdaProvisionedConcurrencyConfig,,val,containment owner,
psm,awspsm-compute.emf,LambdaZipCodeConfig,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-observability.emf,MetricDimension,False,MetricPolicy.dimensions; CloudWatchMetricTransformation.dimensions; CloudWatchAlarm.dimensions,MetricPolicy.dimensions; CloudWatchMetricTransformation.dimensions; CloudWatchAlarm.dimensions,,,,,flag: multiple-containment,leaf classifier,multiple-containment
psm,awspsm-core.emf,NamedValueExpression,False,ValueExpression.entries,ValueExpression.entries,,,,,ok,leaf classifier,
psm,awspsm-core.emf,NativeProperty,False,SamFunctionEvent.properties; AwsResource.metadata; AwsResource.overrides; AwsNativeResource.properties; SamStack.globals; SamStack.metadata; SamGlobals.functionGlobals; SamGlobals.apiGlobals; SamGlobals.httpApiGlobals; SamGlobals.stateMachineGlobals; SamStateMachineEvent.properties,SamFunctionEvent.properties; AwsResource.metadata; AwsResource.overrides; AwsNativeResource.properties; SamStack.globals; SamStack.metadata; SamGlobals.functionGlobals; SamGlobals.apiGlobals; SamGlobals.httpApiGlobals; SamGlobals.stateMachineGlobals; SamStateMachineEvent.properties,,,,,flag: multiple-containment,leaf classifier,multiple-containment
psm,awspsm-core.emf,ResourceImport,False,AwsResource.importDetails,AwsResource.importDetails,,,,,ok,leaf classifier,
psm,awspsm-api.emf,RestApi,False,(none),(none),resources,val,RestApiResource,api,flag: unreachable,containment owner,unreachable
psm,awspsm-api.emf,RestApiMethod,False,(none),(none),requestValidator,ref,ApiGatewayRequestValidator,,flag: unreachable,cross-link,unreachable
psm,awspsm-api.emf,RestApiResource,False,RestApi.resources,RestApi.resources,parentResource,ref,RestApiResource,,ref,cross-link,
psm,awspsm-api.emf,RestApiRoute,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-api.emf,RestApiStage,False,(none),(none),deployment,ref,ApiGatewayDeployment,,flag: unreachable,cross-link,unreachable
psm,awspsm-storage.emf,S3Bucket,False,(none),(none),ownershipControls,val,S3OwnershipControls,,flag: unreachable,containment owner,unreachable
psm,awspsm-storage.emf,S3Bucket,False,(none),(none),cors,val,CorsConfiguration,,val,containment owner,unreachable
psm,awspsm-storage.emf,S3Bucket,False,(none),(none),encryption,val,S3BucketEncryption,,val,containment owner,unreachable
psm,awspsm-storage.emf,S3Bucket,False,(none),(none),lifecycle,val,S3LifecycleConfiguration,,val,containment owner,unreachable
psm,awspsm-storage.emf,S3Bucket,False,(none),(none),publicAccessBlock,val,S3PublicAccessBlockConfiguration,,val,containment owner,unreachable
psm,awspsm-storage.emf,S3Bucket,False,(none),(none),notificationConfiguration,val,S3NotificationConfiguration,,val,containment owner,unreachable
psm,awspsm-storage.emf,S3Bucket,False,(none),(none),replicationConfiguration,val,S3ReplicationConfiguration,,val,containment owner,unreachable
psm,awspsm-storage.emf,S3Bucket,False,(none),(none),bucketPolicy,ref,S3BucketPolicy,bucket,ref,cross-link,unreachable
psm,awspsm-storage.emf,S3BucketEncryption,False,S3Bucket.encryption,S3Bucket.encryption,kmsKey,ref,KmsKey,,ref,cross-link,
psm,awspsm-storage.emf,S3BucketPolicy,False,(none),(none),policyDocument,val,IamPolicyDocument,,flag: unreachable,containment owner,unreachable
psm,awspsm-integrations.emf,S3LambdaNotificationView,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-storage.emf,S3LifecycleConfiguration,False,S3Bucket.lifecycle,S3Bucket.lifecycle,rules,val,S3LifecycleRule,,val,containment owner,
psm,awspsm-storage.emf,S3LifecycleFilter,False,S3LifecycleRule.filter; S3ReplicationRule.filter,S3LifecycleRule.filter; S3ReplicationRule.filter,tags,val,S3TagFilter,,flag: multiple-containment,containment owner,multiple-containment
psm,awspsm-storage.emf,S3LifecycleRule,False,S3LifecycleConfiguration.rules,S3LifecycleConfiguration.rules,filter,val,S3LifecycleFilter,,val,containment owner,
psm,awspsm-storage.emf,S3LifecycleRule,False,S3LifecycleConfiguration.rules,S3LifecycleConfiguration.rules,transitions,val,S3Transition,,val,containment owner,
psm,awspsm-storage.emf,S3NotificationConfiguration,False,S3Bucket.notificationConfiguration,S3Bucket.notificationConfiguration,rules,val,S3NotificationRule,configuration,val,containment owner,
psm,awspsm-storage.emf,S3NotificationRule,False,S3NotificationConfiguration.rules,S3NotificationConfiguration.rules,destination,ref,S3NotificationDestination,,ref,cross-link,
psm,awspsm-storage.emf,S3OwnershipControls,False,S3Bucket.ownershipControls,S3Bucket.ownershipControls,rules,val,S3OwnershipRule,,val,containment owner,
psm,awspsm-storage.emf,S3OwnershipRule,False,S3OwnershipControls.rules,S3OwnershipControls.rules,,,,,ok,leaf classifier,
psm,awspsm-storage.emf,S3PublicAccessBlockConfiguration,False,S3Bucket.publicAccessBlock,S3Bucket.publicAccessBlock,,,,,ok,leaf classifier,
psm,awspsm-integrations.emf,S3QueueNotificationView,False,(none),(none),queuePolicy,ref,SqsQueuePolicy,,flag: unreachable,cross-link,unreachable
psm,awspsm-storage.emf,S3ReplicationConfiguration,False,S3Bucket.replicationConfiguration,S3Bucket.replicationConfiguration,rules,val,S3ReplicationRule,,val,containment owner,
psm,awspsm-storage.emf,S3ReplicationDestination,False,S3ReplicationRule.destination,S3ReplicationRule.destination,replicaKmsKey,ref,KmsKey,,ref,cross-link,
psm,awspsm-storage.emf,S3ReplicationRule,False,S3ReplicationConfiguration.rules,S3ReplicationConfiguration.rules,filter,val,S3LifecycleFilter,,val,containment owner,
psm,awspsm-storage.emf,S3ReplicationRule,False,S3ReplicationConfiguration.rules,S3ReplicationConfiguration.rules,destination,val,S3ReplicationDestination,,val,containment owner,
psm,awspsm-storage.emf,S3TagFilter,False,S3LifecycleFilter.tags,S3LifecycleFilter.tags,,,,,ok,leaf classifier,
psm,awspsm-integrations.emf,S3TopicNotificationView,False,(none),(none),topicPolicy,ref,SnsTopicPolicy,,flag: unreachable,cross-link,unreachable
psm,awspsm-storage.emf,S3Transition,False,S3LifecycleRule.transitions,S3LifecycleRule.transitions,,,,,ok,leaf classifier,
psm,awspsm-compute.emf,SamFunctionEvent,False,AwsLambdaFunction.samEvents,AwsLambdaFunction.samEvents,properties,val,NativeProperty,,val,containment owner,
psm,awspsm-core.emf,SamGlobals,False,AwsPsmModel.samGlobals,AwsPsmModel.samGlobals,functionGlobals,val,NativeProperty,,val,containment owner,
psm,awspsm-core.emf,SamGlobals,False,AwsPsmModel.samGlobals,AwsPsmModel.samGlobals,apiGlobals,val,NativeProperty,,val,containment owner,
psm,awspsm-core.emf,SamGlobals,False,AwsPsmModel.samGlobals,AwsPsmModel.samGlobals,httpApiGlobals,val,NativeProperty,,val,containment owner,
psm,awspsm-core.emf,SamGlobals,False,AwsPsmModel.samGlobals,AwsPsmModel.samGlobals,stateMachineGlobals,val,NativeProperty,,val,containment owner,
psm,awspsm-core.emf,SamStack,False,AwsPsmModel.stacks,AwsPsmModel.stacks,parameters,val,CfnParameter,,val,containment owner,
psm,awspsm-core.emf,SamStack,False,AwsPsmModel.stacks,AwsPsmModel.stacks,mappings,val,CfnMapping,,val,containment owner,
psm,awspsm-core.emf,SamStack,False,AwsPsmModel.stacks,AwsPsmModel.stacks,conditions,val,CfnCondition,,val,containment owner,
psm,awspsm-core.emf,SamStack,False,AwsPsmModel.stacks,AwsPsmModel.stacks,resources,val,AwsResource,stack,val,containment owner,
psm,awspsm-core.emf,SamStack,False,AwsPsmModel.stacks,AwsPsmModel.stacks,outputs,val,CfnOutput,,val,containment owner,
psm,awspsm-core.emf,SamStack,False,AwsPsmModel.stacks,AwsPsmModel.stacks,globals,val,NativeProperty,,val,containment owner,
psm,awspsm-core.emf,SamStack,False,AwsPsmModel.stacks,AwsPsmModel.stacks,metadata,val,NativeProperty,,val,containment owner,
psm,awspsm-workflow.emf,SamStateMachineEvent,False,StepFunctionStateMachine.samEvents,StepFunctionStateMachine.samEvents,properties,val,NativeProperty,,val,containment owner,
psm,awspsm-security.emf,SecretRotationRules,False,SecretRotationSchedule.rotationRules,SecretRotationSchedule.rotationRules,,,,,ok,leaf classifier,
psm,awspsm-security.emf,SecretRotationSchedule,False,(none),(none),rotationRules,val,SecretRotationRules,,flag: unreachable,containment owner,unreachable
psm,awspsm-security.emf,SecretRotationSchedule,False,(none),(none),rotationLambda,ref,AwsResource,,ref,cross-link,unreachable
psm,awspsm-security.emf,SecretValueExpression,False,(none),(none),secretRef,ref,SecretsManagerSecret,,flag: unreachable,cross-link,unreachable
psm,awspsm-security.emf,SecretsManagerResourcePolicy,False,(none),(none),resourcePolicy,val,IamPolicyDocument,,flag: unreachable,containment owner,unreachable
psm,awspsm-security.emf,SecretsManagerSecret,False,(none),(none),secretValue,val,ValueExpression,,flag: unreachable,containment owner,unreachable
psm,awspsm-security.emf,SecretsManagerSecret,False,(none),(none),generateSecretString,val,GenerateSecretStringConfig,,val,containment owner,unreachable
psm,awspsm-security.emf,SecretsManagerSecret,False,(none),(none),kmsKey,ref,KmsKey,,ref,cross-link,unreachable
psm,awspsm-security.emf,SecretsManagerSecret,False,(none),(none),rotationSchedule,ref,SecretRotationSchedule,secret,ref,cross-link,unreachable
psm,awspsm-security.emf,SecretsManagerSecret,False,(none),(none),resourcePolicy,ref,SecretsManagerResourcePolicy,secret,ref,cross-link,unreachable
psm,awspsm-networking.emf,SecurityGroup,False,(none),(none),vpc,ref,Vpc,,flag: unreachable,cross-link,unreachable
psm,awspsm-networking.emf,SecurityGroup,False,(none),(none),ingressRules,val,SecurityGroupRule,,val,containment owner,unreachable
psm,awspsm-networking.emf,SecurityGroup,False,(none),(none),egressRules,val,SecurityGroupRule,,val,containment owner,unreachable
psm,awspsm-networking.emf,SecurityGroupRule,False,SecurityGroup.ingressRules; SecurityGroup.egressRules,SecurityGroup.ingressRules; SecurityGroup.egressRules,sourceSecurityGroup,ref,SecurityGroup,,flag: multiple-containment,cross-link,multiple-containment
psm,awspsm-messaging.emf,SnsFilterRule,False,SnsSubscription.filterRules,SnsSubscription.filterRules,,,,,ok,leaf classifier,
psm,awspsm-integrations.emf,SnsLambdaSubscriptionView,False,(none),(none),permission,ref,LambdaPermission,,flag: unreachable,cross-link,unreachable
psm,awspsm-messaging.emf,SnsSubscription,False,(none),(none),filterRules,val,SnsFilterRule,,flag: unreachable,containment owner,unreachable
psm,awspsm-messaging.emf,SnsSubscription,False,(none),(none),endpointResource,ref,AwsResource,,ref,cross-link,unreachable
psm,awspsm-messaging.emf,SnsSubscription,False,(none),(none),deadLetterQueue,ref,SqsQueue,,ref,cross-link,unreachable
